"5","Дуже красивий, особливо коли вимкнений - тоді здається, що рамка екрана - 2мм. Коли вмикаєшь, розумієш, що рамка - 10 мм. Недоліки некритичні. Купив би ще раз."
"5","Сидел за 19-дюймовым монитором с 2004 года, и вот сегодня поставил себе это чудо. Изображение на мониторе мне нравится."
"5","Монитор мне очень понравился. Рамку в процессе пользования вообще не заметно. Цветопередача просто замечательная! Доволен покупкой."
"5","Монитор с сильно впечатляюшими характеристиками не нужен был. Так что остановились на этой модели. Очень элегантный и в то же время простой монитор, гармонично вписавшийся интерьер. Все строго и в то же время с изюминкой. Размер экрана 58,4 см (23"") с разрешением Full HD по технологии изготовления дислея IPS с углом обзора 178 градусов, позволяющая передать 16,7 млн. цветов, что более, чем достаточно для человеческого глаза. Частота 60 Гц. Подсветка WLED, контрастность динамическая -100 000 000:1, статическая - 1000:1, яркость 250 кд/м2. Если с лупой не искать пиксели, то обычному не требовательному пользователю их не заметно с рабочего расстояния, но размер их составляет 0.265 мм. Рамки довольно тонкие, динамики встроенные - 2 по 2 Вт, клавиши управления на нижнем торце. Имеется возможность наклона самого дисплея от -5 до 15 градуса, повернуть не получится, также как и нет регулировки высоты. Время реакции матрицы 4 мс, покрытие матовое. Веб-камеры, выхода на наушники и тв-тюнера нет в наличие, но имеется HDMI , DVI , VGA интерфейсы (VGA-кабель в комплектации). Класс энергоэффективности А, что составит 33 кВТ*ч/год в безпрерывном использовании. Энергопотребление в рабочем режиме (EEL) составит 23 ВТ, энергопотребление в рабочем режиме (Energy Star) - 30 Вт, off - 0.4 Вт sleep - 0.45 Вт. Применены фирменные технологии : Wide Viewing Angle, Flicker-Less, Blue Light Filter, Comfyview, ZeroFrame. Имеет экологический сертификат MPR II. Вес с подставкой - 2,6 кг, без подставки - 2,2 кг, размерность - 531 x 402 x 224 мм"
"5","Acer R231bmid - это самый крутой монитор, который у меня когда-либо был! Безрамочный формат - это что-то: картинка выходит очень живой и реальной. Этот 23"" монитор поддерживает формат Full HD , так вот, без рамок по краям монитора картинка получается еще более сочной и красивой. Нравится использовать этот монитор как для работы, так и для фильмов и игр. Радуют широкие углы обзора в 178 градусов- я могла почти лежать на кресле ниже уровня стола и все равно не видела на экране искажения картинки. Я опробовала на нем все и со всех сторон - мощные игры, графические пакеты, подключение HDMI-кабеля - все работает идеально. Особенностью данной модели являются встроенные динамики - время от времени я так же использовала их для воспроизведения звука. Он выходит не сильно мощным, но зато чистым и не режущим слух. В целом монитор для меня стал хорошей рабочей лошадкой, которая часто выручает меня и по работе и для развлечений. Так же мне очень нравится стильная ножка, на которой стоит монитор - в этом кольце у меня размещаются разные флешки и кардридеры - мне так удобно и всегда под рукой)) Надеюсь этот монитор прослужит мне долго, так как я его люблю и менять пока не намерена."
"5","Отличнейший монитор, как для работы с графикой так и для игр. Проверен был при работе с графическими пакетам Adobe, а так же играми как на ПК, так и на PS4 через порт HDMI. Единственное звук немного слабоват, но это все таки монитор, а не телефизор, тем более за такую цену, это не недостаток."
"5","Прекрасный монитор, дизайн норм, цветовая гамма отличная. Пока что качеством доволен."
"5","Монитор сразу же впечатлил своим дизайном: легкий, тонкий, с минимальными рамками. Матрица обладает довольно хорошими характеристиками, а подсветка, как для 250 нит, очень яркая (на 100 % немного режет глаза, прикрутил до 70 %). Порадовало наличие трех интерфейсов для подключения и встроенные динамики, а также аудио кабель в комплекте. Что не понравилось - так это то, что в комплекте нет цифрового кабеля DVI или HDMI, а только древний VGA. Учитывая, что уже несколько лет большинство видеокарт не оснащается таким выходом - подобный шаг выглядит очень странно."
"5","Он на сайте как модель R1 . если кто найти захочет ."
"5","за такую цену просто супер!"
