"5","Пользуюсь этим монитором на работе уже почти год, устраивает полностью, замечаний и нареканий не возникает. Цветопередача замечательная, изображение не искажает. Глаза не устают. За счет широкой диагонали рабочее пространство шикарное - удобно работать с двумя документами одновременно. Единственное, что посоветую - правильно выбрать угол обзора для себя, потому что картинка может темнить и портить мнение о мониторе. Не могу сказать как для дома (просмотр фильмов/игр), а для офиса (word, exel, autocad, 1С) это оптимальный вариант."
"5","Покупкой доволен. Советую"
"5","Когда появится в продаже?"
"4","Монитор хороший. Картинка нравится, когда брал, то не подумал что угол обзора будет такой, если смотреть снизу-вверх то будет темнить, если выбрать правильный угол для себя, то всё нормально. Но, смотреть, скажем с дивана, лежа - проблематично. Но это, из за особенностей TN, пишу для тех кто не в курсе. В целом - очень доволен. Спасибо, розетка."
"5","хороший бюджетный вариант. за такие деньги хорошее качество. большой экран"
"1","Устают глаза от монитора причем яркость брал на минимум!.Оброщайте внимание на Контрастность дисплея"
"5","Какой год выпуска модели"
"4","Изображение и яркость в норме"
"5","Дуже хороша ця модель для фільмів,ігор і для офісу, Всім рекомендую!"
"5","А какая контрастность дисплея у моника? Заранее спс"
"5","Качество хорошее,вчера получили и очень рады этой покупке."
"4","Хороший монитор"
"5","А можно вопрос? Скажыте размеры в см Шырина,высота,длина Спастбо!"
"4","Получил, собрал, подключил без проблем и дровишек на винду 10 - ОК! Покупал я его вторым для относительно пристаревшего компа. Купить монитор с IPS просто не реально - цена в два раза! Вообще покупкой доволен. Мне нравится фирма ACER - у моего сына похожий монитор 23 дюйма служит около шести лет без нареканий. Так, что советую приобретать, его цена - качество приемлемо для не очень требовательных юзверьков."
