"5","Чудесный монитор. После 19"" буквально за день-два привыкаешь к немного бОльшим размерам экрана. Цветопередача радует глаз, рамку монитора почти не замечаешь, регулируется высота монитора в меру плавно и хорошо фиксируется после установки. Небольшая тряска стола и нажатие клавиш настроек на мониторе не сбивает заданного положения. Повороты в стороны также осуществляются плавно и хорошо фиксируются. Собирается он легко, как и настраивается. Нижняя площадка в меру просторная. Можно складывать мелочь вроде ручек и флешек, и будет нормально. С подключением к компьютеру через DP также не возникло проблем. Источник изображения автоматически определился и выставил необходимое разрешение экрана. Посылка шла 2 дня в Одессу, упаковка не была повреждена, но внешний слой пупырчатой пленки не повредил бы."
"5","Дуже класний монітор, dell є dell :)"
"4","Пишу отзыв спустя 6 месяцев использования. Нормальный монитор для тех, кто любит диагонали поменьше. Если смотреть близко (15-20см), то пиксели видно, если расстояние глаз от монитора свыше 50см, то пикселей не видно. Относительно неплохая цветопередача, есть встроенные пресеты, отклик монитора умеренный. HDMI, DP, VGA. Тьфу тьфу - битых пикселей или не заметил, или их реально нету. Что не порадовало, так это сборка монитора(для меня - это критически неприемлемо), в любую точку на рамке монитора нажмешь - люфтит. Могу предположить, что мне попался отремонтированный монитор(если это так, то ""-"" производителю Dell),так как именно после повторной сборки, появляется конкретный ""люфт"", а если монитор изначально такой у всех, то есть опять же недостаток самого продукта, т.е. - монитора. Чертовски напрягают щели между самой матрицей монитора и рамкой вокруг него. В эти щели со временем начинает забиваться пыль, хоть у меня ее и не много, но все же если туда заглянуть, десяток пылинок вы увидите."
"5","Доволен"
"4","стоит своих денег"
"5","Брал на свой страх и риск! Ибо начитавшись отзывов они они разбегались в разные стороны. Буду краток: Монитор оправдал все мои надежды! Теперь только DELL!!!"
"5","Не могу найти в настройках, как сделать чтобы вырубался сразу после отключения источника (выключения компа). По-умолчанию он только через 5 минут вырубается. Чтобы не раздражало, приходится каждый раз кнопкой включать-выключать."
"4","В целом покупкой доволен, если бы еще не битый пиксель был бы идеальный монитор."
"5","Приобрёл две недели назад. Всё нравится, все довольны."
"5","Придбав такий для батька чотири місяці тому, собі - місяць. Обидва задоволені. Нарікань не маємо"
"5","Кращій монітор, що в мене був. До MacBookAir підключився з цим шнуром http://rozetka.com.ua/extradigital_kbd1668/p7938927/comments/, а з перехідником на HDMI не захотів працювати."
"5","Отличный монитор на ips матрице. Брал для ретуши фото на дому. Справляется хорошо, однако, требует калибровки. Без калибровки на стандартном режиме отдает явной желтизной и зеленью, в тенях есть синий оттенок. После калибровки - сочные, красивые цвета без примесей. Вывод: отличный товар за такие деньги."
